review_id	sentiment	label_id	input_ids	review_body	date
657	-1	0	[0, 574, 40979, 42, 299, 15383, 12935, 16506, 939, 524, 182, 5779, 1437, 939, 21, 11, 657, 19, 42, 299, 8, 5, 78, 86, 939, 15158, 24, 24, 28704, 10, 1233, 1280, 4, 939, 222, 45, 304, 10, 3841, 254, 1437, 939, 4976, 42, 2125, 66, 7, 3841, 25, 939, 109, 19, 5, 1647, 9, 127, 29716, 13657, 8, 24, 28704, 4, 24, 16, 10, 319, 10941, 8, 203, 15976, 1437, 941, 11, 127, 3701, 4, 114, 47, 657, 42, 299, 939, 429, 3608, 2159, 10, 1836, 62, 8, 14784, 24, 7, 2564, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	Ladies this top shrinks!!! i am very disappointed  i was in love with this top and the first time i washed it it shrunk a significant amount. i did not use a dryer  i laid this piece out to dry as i do with the majority of my knit tops and it shrunk. it is a lot shorter and much tighter  especially in my arms. if you love this top i might suggest buying a size up and washing it to fit.	2023-07-15T17:45:11Z
1732	1	2	[0, 16587, 42, 23204, 328, 372, 13, 173, 4, 182, 3793, 8, 3473, 4, 3195, 16, 12058, 328, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	Love this sweater! great for work. very soft and comfortable. color is gorgeous!	2023-07-15T17:45:11Z
1917	1	2	[0, 1106, 47, 33, 41, 1946, 19487, 1955, 42, 3588, 15056, 24597, 110, 23739, 4, 939, 109, 240, 7, 3568, 10, 6013, 12213, 25, 3588, 16, 614, 847, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	If you have an hourglass figure this dress accentuates your curves. i do need to wear a tank underneath as dress is low cut.	2023-07-15T17:45:11Z
1973	0	1	[0, 100, 5328, 42, 3588, 13, 29224, 13738, 8, 2854, 14, 24, 16, 2721, 36, 118, 829, 171, 33391, 43, 1437, 150, 939, 2854, 14, 42, 23204, 3588, 16, 2721, 1437, 939, 437, 10, 410, 3915, 59, 5, 1318, 4, 71, 95, 10, 183, 9, 2498, 24, 1437, 24, 2551, 7, 33, 685, 24, 18, 3989, 4, 5, 2576, 23385, 9, 5, 3588, 1415, 13596, 66, 8, 24, 579, 11290, 2829, 70, 81, 4, 939, 437, 195, 108, 406, 113, 1437, 16157, 29882, 8, 127, 6097, 1836, 16, 10, 475, 73, 306, 8, 5, 3588, 2564, 6683, 3225, 1437, 53, 45, 98, 203, 30, 29224, 13738, 3630, 4, 939, 437, 45, 1311, 62, 15, 24, 142, 939, 21, 202, 2, 1, 1, 1, 1, 1, 1, 1, 1]	"I wore this dress for christmas and agree that it is beautiful (i received many compliments)  while i agree that this sweater dress is beautiful  i'm a little worried about the quality. after just a day of wearing it  it seemed to have lost it's shape. the bottom hem of the dress looked stretched out and it sagged slightly all over. i'm 5'7""  135lbs and my typical size is a m/4 and the dress fit perfectly initially  but not so much by christmas dinner. i'm not giving up on it because i was still"	2023-07-15T17:45:11Z
7228	1	2	[0, 713, 16, 10, 269, 2579, 1104, 6148, 12, 658, 299, 4, 228, 4505, 1437, 5, 21543, 9876, 7326, 1468, 16, 6344, 328, 1666, 8, 10, 3563, 10397, 868, 3089, 11556, 328, 5, 526, 14893, 32, 10, 269, 11962, 1905, 25, 157, 4, 939, 303, 42, 299, 2564, 1528, 7, 1836, 1437, 8, 939, 362, 127, 4505, 3023, 29, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	This is a really nice white button-up top. per usual  the cloth ant stone material is awesome! ... and a machine washable blouse! the side buttons are a really cute feature as well. i found this top fit true to size  and i took my usual xs.	2023-07-15T17:45:11Z
10768	-1	0	[0, 713, 21, 2198, 430, 87, 939, 421, 4, 5, 3023, 29, 73, 29, 21, 98, 739, 14, 24, 1415, 18882, 4, 9574, 939, 56, 7, 671, 24, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	This was completely different than i expected. the xs/s was so large that it looked messy. unfortunately i had to return it.	2023-07-15T17:45:11Z
787	0	1	[0, 100, 770, 7, 657, 209, 9304, 1437, 53, 51, 58, 2514, 87, 939, 421, 8, 5, 10199, 16, 182, 2016, 4, 818, 101, 10, 7992, 23204, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	I wanted to love these pants  but they were larger than i expected and the fabric is very heavy. almost like a thick sweater.	2023-07-15T17:45:11Z
11176	-1	0	[0, 43670, 3215, 42, 299, 804, 1437, 25, 939, 2638, 5, 8089, 8, 1521, 1437, 53, 939, 197, 33, 13165, 7, 5, 97, 34910, 4, 939, 2740, 127, 4505, 1836, 475, 1437, 8, 24, 21, 95, 182, 29747, 24203, 4, 24, 21, 765, 8, 1810, 1437, 45, 23, 70, 101, 24, 18, 7092, 15, 5, 1421, 4, 35088, 7, 224, 24, 21, 1320, 12502, 124, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	Ordered this top online  as i loved the colors and design  but i should have listened to the other reviewers. i ordered my usual size m  and it was just very unflattering. it was short and wide  not at all like it's pictured on the model. needless to say it was immediately shipped back.	2023-07-15T17:45:11Z
11382	1	2	[0, 100, 657, 42, 27160, 12, 25937, 9540, 4, 939, 3568, 24, 258, 7001, 62, 359, 159, 4, 939, 2333, 3568, 3023, 29, 53, 2162, 579, 98, 939, 115, 3568, 24043, 11837, 223, 24, 8, 5, 3701, 74, 202, 28, 251, 359, 939, 437, 1372, 939, 222, 36, 245, 108, 306, 113, 13156, 13, 5135, 322, 5, 27160, 16, 3793, 359, 3137, 24382, 4, 24, 18, 3279, 1437, 53, 45, 3089, 29549, 3279, 4, 939, 120, 16277, 9, 33391, 15, 24, 77, 939, 3568, 24, 359, 22, 8569, 222, 47, 120, 14, 1917, 1437, 2299, 966, 5, 2229, 15, 1392, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	"I love this faux-fur coat. i wear it both dressed up & down. i usually wear xs but bought s so i could wear sweaters under it and the arms would still be long & i'm happy i did (5'4"" 103 for reference). the faux is soft & comfy. it's warm  but not blizzard warm. i get loads of compliments on it when i wear it & ""where did you get that?""  definitely worth the purchase on sale."	2023-07-15T17:45:11Z
15753	-1	0	[0, 100, 1166, 5, 986, 6173, 8, 2740, 159, 10, 1836, 4730, 14, 5, 6399, 1237, 380, 4, 1437, 1437, 939, 269, 770, 7, 657, 5, 6399, 959, 24, 21, 10, 10178, 4, 19, 70, 9, 5, 1823, 1468, 11, 5, 124, 1437, 24, 1087, 9725, 66, 11, 70, 5, 1593, 2127, 4, 5, 1468, 16, 3137, 24382, 8, 24, 18, 10, 182, 11962, 4286, 1437, 95, 399, 75, 173, 13, 162, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	I read the previous reviews and ordered down a size knowing that the shirt runs big.   i really wanted to love the shirt however it was a tent. with all of the extra material in the back  it billowed out in all the wrong places. the material is comfy and it's a very cute concept  just didn't work for me.	2023-07-15T17:45:11Z
17771	1	2	[0, 243, 1224, 66, 2230, 25, 939, 1017, 5207, 111, 182, 157, 156, 8, 182, 30228, 328, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	It turned out exactly as i'd hoped - very well made and very classy!	2023-07-15T17:45:11Z
16231	-1	0	[0, 100, 269, 770, 7, 101, 42, 299, 4, 11, 621, 600, 1437, 5, 2564, 21, 350, 739, 8, 2233, 219, 4, 939, 222, 645, 10, 2735, 1836, 716, 15, 97, 6173, 53, 24, 21, 202, 350, 14072, 3341, 4, 939, 300, 5, 10521, 32847, 6184, 61, 939, 802, 21, 1341, 1256, 8, 2679, 4, 5, 1468, 21, 2579, 8, 13719, 4, 2532, 24, 74, 356, 357, 15, 951, 19, 10, 1359, 1955, 8, 650, 11044, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	I really wanted to like this top. in person though  the fit was too large and boxy. i did order a smaller size based on other reviews but it was still too sacklike. i got the grey motif pattern which i thought was quite pretty and interesting. the material was nice and lightweight. perhaps it would look better on someone with a straight figure and small bust.	2023-07-15T17:45:11Z
6047	0	1	[0, 713, 95, 222, 45, 2662, 157, 15, 162, 4, 150, 5, 5933, 21, 2051, 8, 5, 10199, 21, 10, 2579, 7992, 35810, 19, 10, 34203, 1280, 9, 4140, 1437, 5, 10619, 23, 5, 4793, 95, 1415, 8372, 4, 24, 222, 45, 2662, 3269, 23, 70, 1437, 98, 24, 95, 1415, 101, 939, 56, 5335, 7001, 11, 5, 2933, 8, 56, 45, 2312, 7, 2345, 66, 127, 21764, 4, 576, 5, 1514, 12, 261, 1318, 1437, 939, 74, 2299, 356, 88, 97, 1964, 31, 42, 1518, 1437, 53, 124, 42, 3588, 439, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	This just did not sit well on me. while the length was fine and the fabric was a nice thick weave with a flattering amount of stretch  the twist at the shoulder just looked odd. it did not sit flat at all  so it just looked like i had gotten dressed in the dark and had not managed to sort out my sleeves. given the spot-on quality  i would definitely look into other items from this brand  but back this dress went.	2023-07-15T17:45:11Z
8846	1	2	[0, 713, 16, 215, 10, 34203, 1437, 1365, 7, 3568, 3588, 328, 939, 524, 10, 1836, 231, 19, 10, 2107, 571, 11044, 1437, 8, 42, 3588, 10698, 162, 6683, 4, 98, 114, 47, 214, 11044, 219, 1437, 42, 197, 173, 13, 47, 350, 4, 3793, 1437, 3041, 219, 1437, 27360, 4, 546, 556, 7, 3279, 1650, 328, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	This is such a flattering  easy to wear dress! i am a size 6 with a 32g bust  and this dress fits me perfectly. so if you're busty  this should work for you too. soft  flowy  feminine. looking forward to warm weather!	2023-07-15T17:45:11Z
5388	1	2	[0, 133, 1345, 473, 10, 2982, 11131, 7, 42, 2721, 23204, 24, 16, 3127, 780, 19, 10, 22990, 2850, 1250, 1517, 6184, 159, 5, 760, 8, 420, 7, 5, 124, 4, 24, 16, 3668, 2721, 12846, 5, 23204, 16, 13719, 1437, 1969, 13, 10, 3035, 183, 50, 11, 41, 558, 15, 10, 2569, 183, 7586, 939, 10098, 62, 5, 10521, 8, 189, 2229, 5, 2272, 114, 24, 1411, 15, 1392, 21154, 36100, 51, 64, 311, 42, 23204, 160, 357, 939, 524, 1402, 24, 40, 1592, 939, 524, 2333, 235, 227, 10, 650, 8, 10, 4761, 8, 956, 5, 4761, 11, 42, 23204, 4, 5, 650, 21, 828, 3229, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	The photo does a disservice to this beautiful sweater it is truly special with a lace scallop pattern down the front and across to the back. it is absolutely beautiful!! the sweater is lightweight  perfect for a cool day or in an office on a cold day.. i snapped up the grey and may purchase the green if it goes on sale.(unless they can show this sweater off better i am certain it will.) i am usually right between a small and a medium and needed the medium in this sweater. the small was bit tight	2023-07-15T17:45:11Z
18849	1	2	[0, 4528, 32, 1153, 127, 158, 212, 1763, 9, 25172, 23324, 2084, 23941, 10844, 1437, 8, 600, 939, 657, 5, 3195, 1437, 2345, 9, 10, 10610, 11, 1437, 3793, 909, 73, 2933, 12339, 1437, 209, 1989, 1763, 2564, 10, 5262, 828, 55, 41783, 87, 143, 9, 127, 643, 4, 24, 115, 28, 5, 754, 14, 209, 32, 7451, 5933, 1954, 144, 643, 32, 251, 19, 5, 37687, 145, 1823, 251, 8, 23889, 4, 98, 939, 5170, 114, 5, 754, 14, 209, 32, 10941, 51, 3805, 7, 2662, 15, 127, 5856, 10, 410, 8225, 4, 24, 189, 67, 28, 95, 42, 1763, 21, 847, 10, 5262, 828, 2735, 4, 939, 524, 7, 4048, 19, 5, 1114, 9, 1394, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	These are probably my 10th pair of pilcro legging jeans  and though i love the color  sort of a worn in  soft black/ dark gray  these particular pair fit a tiny bit more snug than any of my others. it could be the fact that these are ankle length vs most others are long with the cords being extra long and cozy. so i wonder if the fact that these are shorter they tend to sit on my legs a little differently. it may also be just this pair was cut a tiny bit smaller. i am toying with the idea of ask	2023-07-15T17:45:11Z
1183	1	2	[0, 11329, 338, 12146, 14, 42, 45, 129, 10698, 372, 15, 162, 53, 939, 300, 24, 23, 10, 1844, 1392, 425, 328, 1437, 70, 5, 1272, 14, 5, 2430, 34910, 56, 222, 45, 3253, 7, 162, 23, 70, 4, 1437, 939, 437, 98, 7785, 939, 851, 42, 10, 860, 4, 1437, 127, 809, 16, 739, 15, 299, 19, 10, 3925, 13977, 1437, 10, 828, 9, 10, 18093, 4783, 1437, 117, 28097, 50, 29673, 8, 5, 4761, 4716, 1459, 28772, 4567, 81, 70, 127, 16855, 8, 156, 162, 356, 55, 10301, 877, 4, 1437, 45, 686, 596, 42, 16, 373, 12193, 1334, 600, 4, 1437, 939, 524, 195, 108, 246, 113, 2491, 16134, 1437, 1810, 28762, 1437, 1836, 971, 10844, 1437, 9680, 10431, 4, 2, 1, 1, 1, 1]	"Thrilled that this not only fits great on me but i got it at a deep sale price!  all the problems that the negative reviewers had did not apply to me at all.  i'm so glad i gave this a try.  my body is large on top with a square waist  a bit of a tummy  no hips or bum and the medium petite skimmed over all my flaws and made me look more proportionate.  not sure why this is called halter though.  i am 5'3"" 36dd  wide torso  size 28 jeans  140#."	2023-07-15T17:45:11Z
2742	-1	0	[0, 100, 2162, 42, 804, 19, 5, 6589, 9, 24, 145, 127, 11412, 3588, 4, 939, 437, 195, 108, 176, 113, 1437, 12312, 2697, 98, 939, 197, 348, 684, 357, 8, 5335, 10, 22, 13713, 1459, 113, 2496, 3588, 4, 959, 1437, 939, 2638, 5, 2297, 356, 9, 42, 8, 187, 127, 39499, 32, 10, 828, 2671, 36, 3079, 417, 43, 939, 11464, 51, 74, 244, 3300, 24, 66, 4, 2115, 2806, 5, 3588, 1437, 939, 21, 78, 6649, 14, 13, 5, 425, 1437, 5, 1663, 21, 1256, 2129, 1318, 35, 89, 58, 22052, 567, 66, 9, 5, 31622, 8, 51, 1415, 25169, 352, 842, 11538, 4, 77, 939, 342, 24, 15, 1437, 24, 21, 699, 14, 3553, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1]	"I bought this online with the intention of it being my graduation dress. i'm 5'2""  115 pounds so i should've known better and gotten a ""petite"" style dress. however  i loved the modern look of this and since my boobs are a bit bigger (34d) i figured they would help fill it out. upon receiving the dress  i was first shocked that for the price  the construction was pretty poor quality: there were strings coming out of the straps and they looked unevenly sewn. when i put it on  it was clear that th"	2023-07-15T17:45:11Z
